Parameter,n,R2,MAE,RMSE,MAPE,MAE_baseline,Prediksi_berikutnya,Batas_bawah_95,Batas_atas_95,Menang_vs_baseline
Transmission,1839,-0.093,0.3558,0.4341,0.36,0.4578,98.9676,98.2718,99.6634,YA
Tin Content,1845,-0.074,0.1015,0.1324,0.53,0.1292,19.0094,18.7315,19.2873,YA
RI @ 25C,1845,-0.163,0.0022,0.0029,0.14,0.0026,1.5093,1.5039,1.5146,YA
SG @ 25C,1845,-0.082,0.0034,0.0043,0.29,0.0048,1.1706,1.1632,1.1781,YA
Acid Value,1845,-0.019,0.6969,0.8047,153.58,0.8323,0.8994,-0.5222,2.3211,YA
Sulfur,1845,-0.764,0.1818,0.2683,1.51,0.2342,11.9627,11.5261,12.3994,YA
Water Content,1845,-0.039,0.9125,1.0581,60.37,1.1635,2.7561,1.1729,4.3394,YA
Monomethyltin,1845,-0.145,1.7801,2.1771,7.6,2.2858,21.5483,17.8948,25.2018,YA
Yellowish Index,1845,-0.146,0.4181,0.5184,5.3,0.5448,7.8245,6.8562,8.7928,YA
2-EH,1845,-0.098,0.2076,0.2377,57651.96,0.2391,0.2155,-0.1366,0.5676,YA
Viscosity,1845,-0.06,8.9986,10.6815,15.72,11.8368,58.9097,42.1269,75.6925,YA
Pt-Co,1845,-0.039,6.7553,7.7645,72.13,8.1626,17.8522,4.9616,30.7428,YA
