Parameter,Prediksi,Batas_bawah95,Batas_atas95,Model,R2_tren
Transmission,98.968,98.898,99.0379,TREN,0.3
Tin,19.017,18.9654,19.0687,TREN,0.596
RI,1.51,1.5087,1.5113,RATA2,0.002
SG,1.1705,1.1693,1.1716,RATA2,0.01
Acid,1.0897,0.8807,1.2987,RATA2,0.219
Sulfur,11.9629,11.8864,12.0393,RATA2,0.046
Water,2.3688,2.1783,2.5593,RATA2,0.278
Mono,23.5595,23.2494,23.8696,RATA2,0.229
Yellow,7.9692,7.7591,8.1793,RATA2,0.19
EH,0.2352,0.2003,0.2701,RATA2,0.177
Visco,58.0202,56.1768,59.8637,RATA2,0.173
PT,14.3716,12.7206,16.0226,RATA2,0.201
