Parameter,Prediksi,Batas_bawah95,Batas_atas95,Model,R2_tren,MAE,RMSE,MAPE (%),CV-MAE (rata-rata),Shapiro p-val,Normalitas,ADF p-val,Stasioneritas
Transmission,98.968,98.898,99.0379,TREN,0.3,0.0233,0.0278,0.02,0.0316,0.4976,Normal,0.1005,Non-Stasioner
Tin,19.017,18.9654,19.0687,TREN,0.596,0.017,0.0205,0.09,0.0312,0.9944,Normal,0.9798,Non-Stasioner
RI,1.51,1.5087,1.5113,RATA2,0.002,0.0005,0.0007,0.04,0.0008,0.3831,Normal,0.0005,Stasioner
SG,1.1705,1.1693,1.1716,RATA2,0.01,0.0005,0.0006,0.04,0.0004,0.5805,Normal,0.0231,Stasioner
Acid,1.0897,0.8807,1.2987,RATA2,0.219,0.0952,0.1066,9.12,0.1532,0.0653,Normal,0.0888,Non-Stasioner
Sulfur,11.9629,11.8864,12.0393,RATA2,0.046,0.0361,0.039,0.3,0.0477,0.0683,Normal,0.235,Non-Stasioner
Water,2.3688,2.1783,2.5593,RATA2,0.278,0.0742,0.0972,3.1,0.1083,0.3121,Normal,0.1721,Non-Stasioner
Mono,23.5595,23.2494,23.8696,RATA2,0.229,0.1388,0.1582,0.59,0.1694,0.5515,Normal,0.0002,Stasioner
Yellow,7.9692,7.7591,8.1793,RATA2,0.19,0.0931,0.1072,1.17,0.1542,0.7796,Normal,0.3015,Non-Stasioner
EH,0.2352,0.2003,0.2701,RATA2,0.177,0.0134,0.0178,6.02,0.0136,0.0591,Normal,0.0149,Stasioner
Visco,58.0202,56.1768,59.8637,RATA2,0.173,0.6682,0.9405,1.14,0.9639,0.0333,Tidak Normal,0.0,Stasioner
PT,14.3716,12.7206,16.0226,RATA2,0.201,0.7166,0.8423,4.97,0.8822,0.7865,Normal,0.2177,Non-Stasioner
