Parameter,Kode,Prediksi,Batas Bawah 95%,Batas Atas 95%,Sigma Residual,MAE,RMSE,MAPE (%),R²,MAE Baseline,Lebih Baik?,CV-MAE,WF-MAE,Shapiro p,Normalitas,ADF p,Stasioneritas
Transmission,Transmission,98.9642,98.9462,98.9822,0.0092,0.0173,0.0189,0.02,-1.6187,0.0317,Ya,0.0299,0.0224,0.4976,Normal,0.1005,Non-Stasioner
Tin Content,Tin,19.0609,19.0107,19.1111,0.0256,0.0447,0.0448,0.23,-108.0092,0.0232,Tidak,0.0392,0.0409,0.9944,Normal,0.9798,Non-Stasioner
RI @ 25°C,RI,1.5099,1.5088,1.5111,0.0006,0.0003,0.0003,0.02,-62.9305,0.0003,Tidak,0.0004,0.0004,0.3831,Normal,0.0005,Stasioner
SG @ 25°C,SG,1.1706,1.1695,1.1717,0.0005,0.0005,0.0005,0.04,-0.1517,0.0006,Ya,0.0007,0.0006,0.5805,Normal,0.0231,Stasioner
Acid Value,Acid,1.1404,1.138,1.1428,0.0012,0.0564,0.0608,4.85,-185.5966,0.1061,Ya,0.0923,0.0779,0.0653,Normal,0.0888,Non-Stasioner
Sulfur,Sulfur,11.9475,11.9454,11.9495,0.001,0.0538,0.0552,0.45,-11.0341,0.0275,Tidak,0.0306,0.0351,0.0683,Normal,0.235,Non-Stasioner
Water Content,Water,2.3511,2.3497,2.3525,0.0007,0.107,0.11,4.69,-63.2601,0.1044,Tidak,0.0856,0.0931,0.3121,Normal,0.1721,Non-Stasioner
Monomethyltin,Mono,23.6791,23.6779,23.6803,0.0006,0.1695,0.172,0.72,-5.2287,0.1986,Ya,0.141,0.1511,0.5515,Normal,0.0002,Stasioner
Yellowish Index,Yellow,7.9259,7.9247,7.9271,0.0006,0.1386,0.1388,1.73,-3.5261,0.1236,Tidak,0.1381,0.127,0.7796,Normal,0.3015,Non-Stasioner
2-EH,EH,0.2401,0.2376,0.2426,0.0013,0.0021,0.0021,0.86,-22.9919,0.003,Ya,0.0035,0.0027,0.0591,Normal,0.0149,Stasioner
Viscosity,Visco,57.6417,56.4961,58.7873,0.5845,0.1114,0.1433,0.19,-1.7484,0.1919,Ya,0.6853,0.4643,0.0333,Tidak Normal,0.0,Stasioner
Pt-Co,PT,14.0664,13.0207,15.1122,0.5335,1.6837,1.7047,10.69,-30.7392,1.3598,Tidak,0.6841,1.0547,0.7865,Normal,0.2177,Non-Stasioner
